epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/IoU_crack(M),metrics/IoU_background(M),metrics/mIoU(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2121,0.99333,2.16337,1.97291,1.27406,0.66009,0.15875,0.33756,0.11407,0.63743,0.1533,0.23639,0.08542,0.09693,0.25518,0.17605,1.74515,3.3596,3.34414,2.25849,0.00064,0.00064,0.00064
2,29.7941,0.93701,1.28935,1.34595,1.21624,0.42518,0.46458,0.41614,0.17476,0.53025,0.43597,0.45688,0.18669,0.17902,0.65915,0.41909,1.82272,1.39697,2.26232,2.69719,0.00129356,0.00129356,0.00129356
3,41.8535,1.03787,1.31809,1.24616,1.2653,0.10017,0.31063,0.08246,0.02096,0.19811,0.19482,0.11539,0.03035,0.43087,0.9259,0.67839,2.92375,3.24522,4.49709,6.13785,0.0019406,0.0019406,0.0019406
4,53.8526,1.04215,1.35625,1.12479,1.27309,0.22022,0.35628,0.15976,0.05043,0.22847,0.37057,0.17415,0.04853,0.46117,0.92176,0.69146,2.27064,1.98048,4.65506,3.4845,0.0019703,0.0019703,0.0019703
5,65.9615,1.00156,1.33892,1.06118,1.25101,0.14325,0.38556,0.09642,0.03406,0.12542,0.41962,0.07828,0.02286,0.16431,0.62472,0.39452,2.19601,2.24925,3.46396,2.65697,0.0019604,0.0019604,0.0019604
6,78.0462,0.96035,1.29518,1.00758,1.2355,0.30399,0.38965,0.21959,0.08954,0.41221,0.52836,0.33388,0.15804,0.18824,0.67778,0.43301,2.04659,1.44992,2.52197,2.36704,0.0019505,0.0019505,0.0019505
7,90.18,0.91761,1.26433,0.9369,1.20238,0.60868,0.54496,0.5271,0.26947,0.6166,0.58174,0.56097,0.2703,0.41572,0.89739,0.65656,1.57503,1.02139,2.28906,1.87788,0.0019406,0.0019406,0.0019406
8,102.311,0.88769,1.23352,0.91142,1.18762,0.30733,0.54905,0.29606,0.13435,0.39837,0.55313,0.36933,0.14307,0.42146,0.90154,0.6615,1.87283,1.09174,2.81477,2.02276,0.0019307,0.0019307,0.0019307
9,114.391,0.86382,1.22452,0.88231,1.18158,0.52892,0.47139,0.44401,0.18673,0.59893,0.55586,0.53799,0.27601,0.60179,0.95533,0.77856,1.81962,1.17546,2.15439,2.09496,0.0019208,0.0019208,0.0019208
10,126.425,0.83186,1.22626,0.8515,1.1603,0.6346,0.71253,0.62572,0.38132,0.65278,0.72071,0.65151,0.34167,0.72912,0.97228,0.8507,1.25875,0.95243,1.50415,1.45146,0.0019109,0.0019109,0.0019109
11,138.559,0.81497,1.24131,0.84332,1.15601,0.75351,0.71117,0.7697,0.46525,0.7368,0.69619,0.73935,0.39615,0.54922,0.93998,0.7446,1.27842,1.01015,1.27144,1.47685,0.001901,0.001901,0.001901
12,150.552,0.81119,1.20199,0.82861,1.14352,0.6844,0.65395,0.67737,0.40571,0.67833,0.66076,0.65421,0.34719,0.68389,0.96775,0.82582,1.25149,1.04528,1.40847,1.44642,0.0018911,0.0018911,0.0018911
